,tweet
43,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
44,"@taygainfo А куда ватник пропал, который орал, как ему плохо без погибших детей и жены? Последний раз в Америке развлекался и больше ничего не слыхать."
45,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
46,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
47,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
48,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
49,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
50,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
51,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
52,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
53,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
54,"@dober8335 @dw_russian Нахуй пошёл ватник ебаный, это запрещённая социальная сеть в россии. Или ты иностранный агент? Хуйня подзалупная."
55,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
56,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
57,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
58,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
59,@Trollstoy88 Предложи им т34 ваши…  чтоб не позорились на фронте в Украине….  Ватник
60,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
61,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
62,@latvijas_vate потому что узкий ватник по узки может в среднезалупинске болтать
63,"@darya_lagrange @dark_cheese @ilya_shepelin Ну конечно. Познер в свои 90 и то интереснее одевается. Если мы про моду и возраст.
Путин как ватник одет."
64,"RT @denezhken: Если какой-то ватник скажет вам, что НАТО бомбили Югославию, постарайтесь уточнить, какую именно, учитывая, что с 1991г Югос…"
65,"Американский ватник, следующий общепринятой повестке: 1) готов отдать ружье 2) готов спать с теми, кого навяжут «СМИ» 3) готов жрать все, что «можно» 4) готов презирать себя и своих предков.  Собственно, с российским/украинским ватником его роднит главное - он хочет быть в стае. https://t.co/KGB1BetyO4"
66,"@Olga_call_911 @taxfreelt Ахуенно. И одеты в валенки, ватник и шапку ушанку"
67,@ru2ch А эйджист и ватник — это один админ или разные?
68,"@latvijas_vate ЕСЛИ ТЫ РУССКОЙ, ДА ЕЩЁ В ДОБАВОК И ВАТНИК, ЗНАЧИТ ТЫ СКОРЕЕ ВСЕГО ПИДАРАСТ!!! ПОЭТОМУ С ТОБОЙ НЕ ХОТЯТ РАЗГОВАРИВАТЬ!!!"
69,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
70,"@avreliaikan @MrArman1974 тебе в лицо показывают оригинал фото, а ты закрываешь глаза, ватник. Верь во что хочешь, но кончай использовать такие старые бояны"
71,@AChigisheff @dw_russian Ватник сними с себя и постирай. Воняет.
72,"@zonov_sl Весь мир видит,ватник не видит"
73,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
74,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
75,"@u_parashi_putin @4everRepublic @STurulin @CKonovalov Вы ватник или что? Если вы не ватник, то почему вы говорите как ватник? Ну то есть с нихуя нападаете на работу людей (неплохую причём). Вы понимаете, что вас в приличном обществе не ждут с такими повадками?"
76,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
77,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
78,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
79,@Kgusarovs1 @SobolLubov Пошёл наху тупорылый ватник
80,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
81,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
82,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
83,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
84,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
85,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
86,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
87,"Что с лицом шойга? Оленевод явно что-то недоговаривает!!!После геноцида мужского населения на рассии, тайга шалаш ватник и резиновые сапоги начинают смотреться для него давольно привлекательным выбором. #Шойгу #Россия #МОРФ #армияроссии #Shoigu https://t.co/7vxGYHAIDy"
88,"Даже если так будет-ватник обвинит санду,омеричку и НАТу,их заставили-вынудили.Путин лично отдаст приказ расстрелять семью ватника-и он все равно скажет,что путена обманули,что он был vынужден и все такое .Это не лечится,это своего рода религиозныи фанатизм. https://t.co/yxuqCebpT0"
89,"RT @new_taras: Когда ватник утверждает, что в Украине фашисты, я на 1000% уверен, что они разу даже не интересовался хотя бы 10-тью основны…"
90,"@Cemenofivan Что такое произошло в Мытищах, что каждый день в тви про них. Друг живёт там. Но не ватник, наш товарищ, из верхнего тви."
91,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
92,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
93,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
94,"@bocharik Что с лицом шойга? Оленевод явно что-то недоговаривает!!!После геноцида мужского населения на рассии. Тайга, шалаш, ватник и резиновые сапоги начинают смотреться давольно привлекательно. https://t.co/MqUTHO0q2L"
95,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
96,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
97,"RT @torvi2502: Купил в Ялте,на Бакалее. 
Продавщица громко рекламировала товар:Мелитопольский завод,Украина.А значит есть можно!
Старый ват…"
98,"@fearthiz Ватник, сколько у тебя в Донецке пидорашка построила театров и спорткомплексов?"
99,"RT @latvijas_vate: Рижский ватник не понимает, почему латыши с украинцами могут поговорить по-русски, а с местными русскими не хотят. Есть…"
