,tweet
64,"@deminezz @villix7 да как же вы заебали...

@kradsti_ ты чурка ебанная"
65,"@semkolmayer @leons999 @Butlio1 @sashasasha127 За то, что ее пооностью уничтожили слова с поделанием смерти. Она ведь русская, за что ее так? Она ведь не чурка, не черномазая и даже не еврейка!"
66,"@TimeTra66581778 @tuposlavandar Андрий Лузан из ""Левов на Джипе"" тоже чурка?"
67,"@raiselul @Enrgyyyy Бивает ахахахахахха чурка бляяяя, это пиздец, чему тебя 10 лет учили неук"
68,"@meduzaproject придуманным расизмом возмущается страна в которой ""сдаем только славянам"", оскорбления по национальности(чурка, жиды, хохлы, хачи, пиндосы и пр.) и  шовинизм - это норма"
69,"@Morenabrunett слово ""негр"" (""чурка"", ""лабус"" и т.д. и т.п.) хорошая лакмусовая бумажка для таких тварей..."
70,@NotScotman Там ваще ор выше гор. Все африканцы и сирийцы ебаные насильники. Я ебаный нищий балканоид чурка. В общем красота!
71,"@mundstalker @levachshchina Что в вашем понимании ""нацисты"" и ""русская"" земля?

Нацисты это те кто кричали ""кто не прыгает тот хач, кто не скачет тот чурка""? или те кто кричали ""россия для русских, москва для москвичей""?

А русская земля - это та земля которая давала дань Киеву в период Киевской Руси?"
72,Сбежала от топора палача чурка
73,@saxageer На болотах советских просторов знали как Чурка
74,Чурка помер. Не дотянул до суда…
75,@supersuka1995 я не буду себя проверять ведь скорее всего я чурка
76,@pr0za1k Чурка
77,"@ane4ka_shu @anchous87 Правильно, потому что ты чурка ормянская..."
78,"@SvobodaRadio Чурка показал моли, как надо."
79,Did u call me чурка
80,RT @tuposlavandar: Лайк если маленькая чурка из твиттера ууу ухххх https://t.co/VtyHGPYP7B
81,"@Stasa80806314 @BCF4foZ2f8qc4kq Так они все и всех ненавидят..И всегда так было.  Прошлым летом в маршрутке сама видела,  как мужик  в футболке с ссср орал на водителя "" чурка грязножопая"". Это уже национальная идея такая-ненависть"
82,"@MirekIGG Что с ебалом, чурка? 😂"
83,@tuposlavandar я главная маленькая чурка твиттера всем смотреть
84,Лайк если маленькая чурка из твиттера ууу ухххх https://t.co/VtyHGPYP7B
85,"RT @xxxquerelle: у русни я чурка у украинцев москаль 
сука я кто"
86,"Официјален трофеј за Таче Чурка и неговата месијанска верба во ЕУ интеграциите кои ""немаат алтернатива""! https://t.co/OGE9UxktuG"
87,"@SkiperKakao Чурка тупорылый, ему говорят стакан взять, а он чашку берет"
88,"так как я перестала окружать себя токсиками, я забыла о том, что нацизм всё ещё существует.

попала в чат, где меня обосрали за то, что я чурка и похожа на азерку))) мне всё равно, на кого я похожа и не похожа, я люблю свою восточную внешность и люблю, как выглядят другие люди."
89,"@sergeenko_i Давай уточним, не просто мужик, а чурка!"
90,"@hviagov @MStoyanov2 @worldtravel1915 И никога няма да разберем каква точно е връзката с половете и защо това трябва да е обидно? Наука, цивилизация и развитие и на финала стигаме до мъдрото изказване:
“Аз имам чурка!” 
Толкова години еволюция и чурка… За пенис ме докладват, сори…"
91,"@UrbanGornNB Симонова потаксюха, навальнистка, для которой слово ""чурка"" было нормой. Та ещё падаль"
92,"у русни я чурка у украинцев москаль 
сука я кто"
93,"@Hugo_StiglitzUA Русский ученый, не помню кто, объяснил:
— Разница между ""Доктор"" и ""почетный Доктор"" такая же, как между ""Государь"" и ""милостивый государь"" 

Кадыров — тот ващще академик, и чо? Чурка чуркой))"
94,@suckerIxve чурка бл
95,"@Janell29834839 @Adrian19681968 @MaserattiRadik @prof_preobr Нету нацистов? А кто те люди, для которых, если не русский, то чурка, черножепый, узкоглазый, пшеки, проебалты и т.д.
Кто сдает кв только людям славянской внешности?
Пиздливые, моральные уроды"
96,@SanSanSUN634 Вая ну чисто чурка момент
