,tweet
57,"Es una bolita de brillos por dios, ya dije que lo amo? Lo amo"
58,RT @xochiarb: Hoy solo hacerme bolita en mi camita y llorar hasta quedarme dormida :(
59,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
60,Queimei até a bolita do zoio.
61,@LuuCornejo5 Jajaj bolita yo voy a intentar dormir 😬😬
62,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
63,quiero hacerme bolita
64,"También explicaron que toda la filosofía de fondo en la que trabajan en todos sus proyectos con Kirby se basan en ""vamos a convertir a una bolita rosa en un héroe"".🩷

#Kirby
#HALLaboratory https://t.co/jBWDPgo7NN"
65,RT @msalgadort: Que difícil es hacer tu puta vida normal cuando quieres quedarte hecha bolita llorando todo lo que tienes adentro
66,@arcadilium q tierno mi bolita edgy
67,@navedelmisterio La bolita negra que puede tocar a cualquiera ajeno a la institución penitenciaria puede suponer arruinar y/o acabar con la vida y/o existencia de muchas personas inocentes que ni quieren ni saben que están participando en la siniestra ruleta de la reinserción social
68,"RT @TinyPanthera: 🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
69,"@navedelmisterio Pero lo peor es que este juego siniestro de la ruleta penitenciaria trasciende al exterior en base a la gran patraña llamada ""reinserción social"" y los jugadores son los más débiles de la sociedad sin comerlo ni beberlo, pues ignoran que les puede tocar una bolita negra"
70,"🎶Soy una bolita, soy una bolita 🎶 🐩😅 https://t.co/CxfpS8PBkz"
71,@LaDelAtico8 La bolita es lista
72,RT @iNostalgix: Estoy en la delgada línea entre querer ser una persona fuerte e independiente y querer hacerme bolita en un rinconcito porq…
73,"RT @AlexP_Coon: ¿Te parece si nos comemos un flan a la próxima que nos veamos? Anotalo en la libretita de pendientes uwu
Feliz cumpleaños 🥳…"
74,@SamB21 Me haré bolita mientras abrazo mi almohada 🥺🤧
75,"La compañía eléctrica que te vende la electricidad, te dice que te instala placas solares fotovoltáicas para que les pagues mucho menos por la electricidad.
¿Dónde está la bolita?. https://t.co/PbioByY14g"
76,"RT @flamencofest: and shining stars @Arcangel_Flamen and @marina_heredia, performing with flamenco guitarists Miguel A. Cortés, Bolita and…"
77,RT @MilyCvenfold: A mi me encanta Rauw porque el man se ve así todo fuckboy sin sentimientos pero por dentro es una bolita rosadita de amor
78,"RT @RegionsFrance: #DíaMundialDeLaMúsica #FlamencoFestival 
Rencontre des étoiles brillantes :
 @Arcangel_Flamen et @marina_heredia , 
Les…"
79,"RT @TheRealThelmaJ1: Hola.  I am Estaban La Bolita, moderator of @backwadsackld17 and a random constituent who thinks she is the greatest.…"
80,@Aintright_bl9 @Natures_Voice Una bolita de plumas.
81,@Dulcedailinn Bolita mami
82,RT @samverloren: A veces me autostalkeo y me doy cuenta de que parezco una persona súper agresiva y conflictiva y en realidad si me hablas…
83,Es que tienen una bolita anti estrés https://t.co/3pI8HU59mJ
84,"RT @AixaMoulin2: Me siento tan insuficiente , tann triste , quiero hacerme una bolita y llorar toda la noche"
85,@catwoma52625735 Es precioso 😻 cualquiera se enfadaría con esta bolita… ❤️
86,RT @dahiBlnc: Solo quiero hacerme bolita y llorar
87,@Trafico_ZMG @siapagdl Puras mmdas y mentiras siempre con los ineptos de @siapagdl  que le avientan la bolita a TODOS.  Orates de sheeettttt
88,RT @cele_diaz2001: Quiero hacerme una bolita y llorar
89,"@majogaldamez @AlvaroMencia @ANDASV @nayibbukele Si el contador no es nuevo, pidan cambio. 
El contador tiene una bolita giratoria, si se mueve cuando todo está cerrado, hay fuga (aunque no se vea)"
90,"@erjuandi13 @JAM_fdz A la azotea de la casa del Lurra más concretamente!!
Jejejejeje
Que buenos ratos en el pueblo, con el gran “BOLITA”"
91,me mordí tanto el labio que me salió una bolita dura y ahora me duele más jaksjaj
92,"RT @Teo_rino_parado: @mirmer26 A estos cretinos, les importa un bledo las denuncias que se les hagan. Van a hacer lo que les venga en gana,…"
93,@felixdavidoest Nunca https://t.co/y4Dtu6LSsP en bolita ñemonho
94,"@AlvaroMencia En el contador hay una como bolita giratoria. Si se mueve aunque no haya fugas aparentes, sería de revisar."
95,Mc hay días en los que solo quiero hacerme bolita y más na’.
96,"Mi hija, el curso pasado, tenía que hacer una línea del tiempo de los Borbones y la hizo en formato Instagram. La descripción general, una bolita de Historia para cada personaje y la línea del tiempo en las publicaciones. Los textos los escribió a mano pero lo hizo en Canva https://t.co/XmKA5rWRUZ https://t.co/bMYQnddviz"
97,"RT @TheRealThelmaJ1: Hola.  I am Estaban La Bolita, moderator of @backwadsackld17 and a random constituent who thinks she is the greatest.…"
98,quiero hacerme bolita y llorar toda la noche
