,tweet
27,"RT @DrAlsherif: قال سحنون: 
""أشقى الناس من باع آخرته بدنياه ، وأشقى منه من باع آخرته بدنيا غيره""
قال ابن الصلاح تعليقا:ففكرت فيمن باع آخرته…"
28,"RT @DrAlsherif: قال سحنون: 
""أشقى الناس من باع آخرته بدنياه ، وأشقى منه من باع آخرته بدنيا غيره""
قال ابن الصلاح تعليقا:ففكرت فيمن باع آخرته…"
29,"قال سحنون: 
""أشقى الناس من باع آخرته بدنياه ، وأشقى منه من باع آخرته بدنيا غيره""
قال ابن الصلاح تعليقا:ففكرت فيمن باع آخرته بدنيا غيره فوجدته المفتي ؛يأتيه الرجل قد حنث في امرأته ورقيقه ، فيقول له :لا شيء عليك. فيذهب الحانث ، فيتمتع بامرأته ورقيقه ، وقد باع المفتي دينه بدنيا هذا"
30,"RT @tha_300: أنائم أنت عن كتب الحديث وما
أتى عن المصطفى فيها من الدين

لمسلـم والبخـارى اللذيـن همـا
شدا عرى الدين فى نقل وتبييـن

أولى بأج…"
31,"RT @tha_300: أنائم أنت عن كتب الحديث وما
أتى عن المصطفى فيها من الدين

لمسلـم والبخـارى اللذيـن همـا
شدا عرى الدين فى نقل وتبييـن

أولى بأج…"
32,"RT @tha_300: أنائم أنت عن كتب الحديث وما
أتى عن المصطفى فيها من الدين

لمسلـم والبخـارى اللذيـن همـا
شدا عرى الدين فى نقل وتبييـن

أولى بأج…"
33,"أنائم أنت عن كتب الحديث وما
أتى عن المصطفى فيها من الدين

لمسلـم والبخـارى اللذيـن همـا
شدا عرى الدين فى نقل وتبييـن

أولى بأجـر ووتعظيم ومحمدة
من كل قول أتى من رأى سحنون

هيهات رأى أمرئِِ من وحى خالقنا
قياس هذا بـذا رأى المجانيـن

 #مساحة_صحيح_مسلم"
34,"RT @muhamadchehade: "" كان بعض من مضى يريد أن يتكلم بالكلمة ، ولو تكلم بها لانتفع بها خلق كثير ، فيحبسها ، ولا يتكلم بها مخافة المباهاة ""

•…"
35,""" كان بعض من مضى يريد أن يتكلم بالكلمة ، ولو تكلم بها لانتفع بها خلق كثير ، فيحبسها ، ولا يتكلم بها مخافة المباهاة ""

•الإمام العلّامة فقيه المغرب سُحنون•"
36,قال سحنون المالكي رحمه الله: كل دابة تعمل بعد الشبع إلا ابن آدم إذا شبع رقد ترتيب المدارك 360/1
37,"@FYqxYrOcEUAhZhE @qweenof2020 @tawase_q8 زعم الطريفي ان الامام مالك يوجب على المراة ان تغطي وجهها امام الرجال في الحج وهذا باطل أنما فقط أجاز لها أن تغطي وجهها من باب الجواز وليس الوجوب والدليل قال سحنون - تلميذ الامام مالك :( قال الامام مالك "" فإن كانت لاتريد سترا فلا تسدل "" ) فهو جعل القرار لها اذا شائت غطت أم لا https://t.co/0jitDGFQdZ"
38,قال سحنون المالكي رحمه الله: كل دابة تعمل بعد الشبع إلا ابن آدم إذا شبع رقد ترتيب المدارك 360/1♥
39,RT @GAILY2012: الأزرق في الميعاد... ياسر سحنون https://t.co/jswgGoSwZu
40,"RT @Al_Moshaf_: {إِنَّ هَـٰذَا ٱلۡقُرۡءَانَ یَهۡدِی لِلَّتِی هِیَ أَقۡوَمُ}

روى ابن لبابة عن العتبي عن سحنون أنه رأى عبد الرحمن بن القاسم…"
41,الأزرق في الميعاد... ياسر سحنون https://t.co/jswgGoSwZu
42,"《إني لأُسأل عن المسألة، فأعرفها، وأعرف في أي كتاب هي، وفي أي ورقة، وفي أي صفحة، وعلى كم هي من سطر، فما يمنعني من الجواب إلا كراهة الجرأة بعدي على الفتوى》

سُحنون"
43,"RT @hoodamahir2: ساق ابن عبد البر بسنده عن سحنون بن سعيد: أنه رأى عبد الرحمن بن القاسم في النوم، فقال: ما فعل اللَّه بك؟ فقال: 
""وجدت عنده…"
44,"ساق ابن عبد البر بسنده عن سحنون بن سعيد: أنه رأى عبد الرحمن بن القاسم في النوم، فقال: ما فعل اللَّه بك؟ فقال: 
""وجدت عنده ما أحب
-قال له: فأي أعمالك وجدت أفضل؟
-قال: تلاوة القرآن
-قال: قلت له: فالمسائل؟
-فكان يشير بإصبعه يلشيها -أي كأنها لا شيء، فقد تلاشت وذهبت

سير أعلام النبلاء"
45,"RT @hamoudy_97: ( ويا قومِ لا أسألكم عليه مالاً )
( اتّبعوا من لا يسألكم أجراً )

وهذه عادةُ الرسل : يُبلِّغون ويبذلون العلم والنصائح والخي…"
46,@benamar31 الارهابيون سحنون الارهابيين امر عادي لكن خليك مبتسم الامر سيتغير قريبا جدا لن اقول اكثر لكن تذكر وضعك سيكون خايب بزززززززاف يا .......
47,قال سحنون المالكي رحمه الله: كل دابة تعمل بعد الشبع إلا ابن آدم إذا شبع رقد ترتيب المدارك 360/1  ✲
48,"أصواتكم ليتشوَّش القارئ له)،

وهذا ما تفتعله وسائل الإعلام لتصد عن فكرة الحق في كل زمن على اختلاف الوسائل المتاحة. فها هم يصعّدون اللغو في موسم تلاوة القرآن وتدبره حتى يصدوا عنه ما استطاعوا ويبثوا التشويش عبر الملهيات وإثارة الجدل في المسلّمات كي لا تصفو النفوس"".

🖌. مؤمن سحنون."
