,tweet
34,"RT @MARTYRDOM_LOVER: قال تعالى:
""واصبر على مايقولون واهجرهم هجراً جميلاً ""
هكذا صاغ لنا الله الراحه النفسيه الصبر مطلوب في كل أمور الحياة"
35,"""أراكَ هجرتني هجراً طويلاً
وما عودتني من قبلُ ذاكَ 
يعزّ عليّ حينَ أديرُ عيني
أفتّشُ في مكانكَ لا أراكَ!"""
36,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
37,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
38,"RT @BASYU4890: نصيحة 
عليك أن تهجر هجراً جميلاً …

كل قليل أدب ..
ومن لا يحترم وجودك"
39,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
40,"RT @bandar65432: #أحبتي_في_الله :
 أعلن إعتزالي على موقع (#المساحات )
والله ما بدأتُ خصامًا ولا هجرًا، أو هانت عِشرةٌ
عليّ أبدًا ، احترامًا…"
41,"RT @Aymbk: عظيمة هذه القاعدة التي فيها اقتباس من القرآن الكريم وقول الله سبحانه عز وجل
 ""واهجرهم هجراً جميلاً""
من يؤذونك ولا يقدرون قيمتك ا…"
42,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
43,"RT @Aymbk: عظيمة هذه القاعدة التي فيها اقتباس من القرآن الكريم وقول الله سبحانه عز وجل
 ""واهجرهم هجراً جميلاً""
من يؤذونك ولا يقدرون قيمتك ا…"
44,"﴿ وَٱصۡبِرۡ عَلَىٰ مَا يَقُولُونَ وَٱهۡجُرۡهُمۡ هَجۡرٗا جَمِيلٗا ﴾ 
 
 [سُورَةُ المُزَّمِّلِ: الآية 10]
 
 #غرد_بالقرآن 💚"
45,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
46,"هجراً بليا سبب قلب بلا مله
الله يسامح بعادك خرب اخلاقي"
47,"RT @Sh3rj: ""والله ما بدأتُ خصاماً ولا هجراً، أو هانت عِشرةٌ عليّ أبداً، لكني إن تأذَّيت اعتزَلت."""
48,"RT @BASYU4890: نصيحة 
عليك أن تهجر هجراً جميلاً …

كل قليل أدب ..
ومن لا يحترم وجودك"
49,RT @Masa_G_Mu7ammad: وَ اصْبِرْ عَلَىٰ مَا يَقُولُونَ وَ اهْجُرْهُمْ هَجْرًا جَمِيلً 🤍☺️
50,"بِسْم الله الرحمن الرحيم
""واصبر علي مايقولون وأهجرهم هجرآ جميلا""

كلام الناس أبتلاء في معظم الوقت ومحتاج صبر ، أنت مش ضعيف ولا حساس ، كلام الناس طعنات محتاجة صبر وقوة ."
51,"RT @alshmri1111: يعلمنا القرآن أن لا نأخذ 
الصراخ بالصراخ 
ولا الشتم بالشتم
فجمال الحياة هو في الإعراض عن السوء
جرّب أن تنظر إلى الإساءة أن…"
52,"ما كان هجرًا ولاكِبرًا وليس أذى
أستغفر الله هل أقوى فأؤذيك ؟
كانت ظروفا ثقالا لوعلمت بها
تبكي عليَّ كما أبكي وأبكيكَ"
53,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
54,@Askmuhami والله العظيم قشعر بدني اذا اهل يسوون كذا كويس ماجاتك جلطه من الغبنه  لا اهجريهم هجرا جميلا وانتِ في بلد قانون خل اخوك يسوي الي يبيه وبعد مايتهمونك ويخلصون من هالمحكمه الكيديه اطلعي بهدوء استاجري وابعدي عنهم
55,(وَٱصْبِرْ عَلَىٰ مَا يَقُولُونَ وَٱهْجُرْهُمْ هَجْرًا جَمِيلًا )
56,"RT @Aymbk: عظيمة هذه القاعدة التي فيها اقتباس من القرآن الكريم وقول الله سبحانه عز وجل
 ""واهجرهم هجراً جميلاً""
من يؤذونك ولا يقدرون قيمتك ا…"
57,وَاصْبِرْ عَلَى مَا يَقُولُونَ وَاهْجُرْهُمْ هَجْراً جَمِيلاً  ،، المزمل ١٠
58,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
59,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
60,"RT @Aymbk: عظيمة هذه القاعدة التي فيها اقتباس من القرآن الكريم وقول الله سبحانه عز وجل
 ""واهجرهم هجراً جميلاً""
من يؤذونك ولا يقدرون قيمتك ا…"
61,"RT @adabeiat: ماكانَ هجراً، ولا كْبراً، ولا أذى
أستغفرُ الله.. هل أقوى فأوذيكَ؟
كانت ظروفاً ثِقالاً لو علِمتَ بها
تبكي عليّ كما أبكي، وأُبك…"
62,"RT @BASYU4890: نصيحة 
عليك أن تهجر هجراً جميلاً …

كل قليل أدب ..
ومن لا يحترم وجودك"
63,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
64,"RT @Abeer_mah: ""واهجرهم هجرا جميلا""
من يؤذونك ولا يقدرون قيمتك ابتعد عنهم لا تشغل بالك بهم لا تخالطهم بخير أو شر
أحسن الهجر وكن خلوقاً حتى…"
65,وَاهـجُرْهم هَـجرًا جَـميلًا
66,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
67,@TJ_SaRaB وَاصْبِرْ عَلَىٰ مَا يَقُولُونَ وَاهْجُرْهُمْ هَجْرًا جَمِيلًا
68,"ﺃﺭﺍﻙ ﻫﺠﺮﺗﻨﻲ ﻫﺠﺮﺍً ﻃﻮﻳﻼً
ﻭ ﻣﺎ ﻋﻮّﺩﺗﻨﻲ ﻣﻦ ﻗﺒﻞُ ﺫﺍﻛﺎ
ﻋﻬﺪﺗﻚ ﻻ ﺗﻄﻴﻖ ﺍﻟﺼﺒﺮ ﻋﻨﻲ
ﻭ ﺗﻌﺼﻲ ﻓﻲ ﻭﺩﺍﺩﻱ ﻣﻦ ﻧﻬﺎﻛﺎ
ﻓﻜﻴﻒ ﺗﻐﻴﺮﺕ ﺗﻠﻚ ﺍﻟﺴﺠﺎﻳﺎ
ﻭ ﻣﻦ ﺫﺍ ﺍﻟﺬﻱ ﻋﻨﻲ ﺛﻨﺎﻛﺎ ."
69,"RT @Aymbk: عظيمة هذه القاعدة التي فيها اقتباس من القرآن الكريم وقول الله سبحانه عز وجل
 ""واهجرهم هجراً جميلاً""
من يؤذونك ولا يقدرون قيمتك ا…"
70,﴿واصّبر عَلى مَايقولونَ واهّجُرهم هَجرًا جمِيلاً﴾
71,وَ اصْبِرْ عَلَىٰ مَا يَقُولُونَ وَ اهْجُرْهُمْ هَجْرًا جَمِيلً 🤍☺️
72,"RT @Aymbk: عظيمة هذه القاعدة التي فيها اقتباس من القرآن الكريم وقول الله سبحانه عز وجل
 ""واهجرهم هجراً جميلاً""
من يؤذونك ولا يقدرون قيمتك ا…"
73,RT @ali_8804: جوکر فاطمہ تو مشوانی کے ساتھ بند ہوگئے لیکن مشوانی کے چکے جانے کے بعد بھی یہ ہجرا ایکٹیو  ہے اداروں کو چائیے اس کا بھی کھڑا ن…
74,"""وأهجرهم هجراً جميلاً""
القرآن يعلمك أن لا تأخذ السيئة بالسيئة ، جمال الحياة في الإعراض عن هذه الفئة من البشر جرّب أن تنظر إلى الإساءة على إنها سلوك يمثل صاحبه وليست تقليلاً من شخصك عندها سوف تلاحظ أن جزءاً كبيراً من ردة فعلك سيختلف إلى الأفضل ."
75,"""واصبر على ما يقولون واهجرهم هجراً جميلا"" https://t.co/Vw5lUrXNmF"
76,RT @ali_8804: جوکر فاطمہ تو مشوانی کے ساتھ بند ہوگئے لیکن مشوانی کے چکے جانے کے بعد بھی یہ ہجرا ایکٹیو  ہے اداروں کو چائیے اس کا بھی کھڑا ن…
77,"عارف يعني ايه واهجرهم هجرا جميلا 
يعني في علاقات و ناس مينفعش معاهم القرب باشكاله والهجر الجميل هو أنسب وضع و الفرق بين الهجر الجميل والعادي إن الهجر الجميل مافهوش غل مافهوش أذية مافهوش خصام لو قابلته هتسلم لو احتاجك هتسعفه ربنا اوجدلنا قوانين للتفاصيل اللي تخليك تعيش سوي مطمئن"
78,"RT @BASYU4890: نصيحة 
عليك أن تهجر هجراً جميلاً …

كل قليل أدب ..
ومن لا يحترم وجودك"
79,"عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر الجميل هو أنسب وضع ، و الفرق بين الهجر الجميل والعادي ، إن الهجر الجميل ، مافهوش غل ، مافهوش أذية ، مافهوش خصام ، يعني لو قابلته هتسلم ، لو احتاجك هتسعفه .."
80,"RT @tena19721: ﺃﺭﺍﻙ ﻫﺠﺮﺗﻨﻲ ﻫﺠﺮﺍً ﻃﻮﻳﻼً
ﻭ ﻣﺎ ﻋﻮّﺩﺗﻨﻲ ﻣﻦ ﻗﺒﻞُ ﺫﺍﻛﺎ
ﻋﻬﺪﺗﻚ ﻻ ﺗﻄﻴﻖ ﺍﻟﺼﺒﺮ ﻋﻨﻲ
ﻭ ﺗﻌﺼﻲ ﻓﻲ ﻭﺩﺍﺩﻱ ﻣﻦ ﻧﻬﺎﻛﺎ
ﻓﻜﻴﻒ ﺗﻐﻴﺮﺕ ﺗﻠﻚ ﺍﻟﺴﺠﺎﻳﺎ
ﻭ ﻣ…"
81,"RT @BASYU4890: نصيحة 
عليك أن تهجر هجراً جميلاً …

كل قليل أدب ..
ومن لا يحترم وجودك"
82,RT @ali_8804: جوکر فاطمہ تو مشوانی کے ساتھ بند ہوگئے لیکن مشوانی کے چکے جانے کے بعد بھی یہ ہجرا ایکٹیو  ہے اداروں کو چائیے اس کا بھی کھڑا ن…
83,﴿ وَاُصٌبر عَلَى ماَيَقُولُونَ وَ اُهٌجُرٌهُمٌ هَجٌراً جَمِيلاً ﴾
84,RT @ali_8804: جوکر فاطمہ تو مشوانی کے ساتھ بند ہوگئے لیکن مشوانی کے چکے جانے کے بعد بھی یہ ہجرا ایکٹیو  ہے اداروں کو چائیے اس کا بھی کھڑا ن…
85,RT @ali_8804: جوکر فاطمہ تو مشوانی کے ساتھ بند ہوگئے لیکن مشوانی کے چکے جانے کے بعد بھی یہ ہجرا ایکٹیو  ہے اداروں کو چائیے اس کا بھی کھڑا ن…
86,RT @ali_8804: جوکر فاطمہ تو مشوانی کے ساتھ بند ہوگئے لیکن مشوانی کے چکے جانے کے بعد بھی یہ ہجرا ایکٹیو  ہے اداروں کو چائیے اس کا بھی کھڑا ن…
87,RT @ali_8804: جوکر فاطمہ تو مشوانی کے ساتھ بند ہوگئے لیکن مشوانی کے چکے جانے کے بعد بھی یہ ہجرا ایکٹیو  ہے اداروں کو چائیے اس کا بھی کھڑا ن…
88,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
89,"RT @2lllove: ""والله ما بدأتُ خصاماً ولا هجراً، أو هانت عِشرةٌ عليّ أبداً، لكني إن تأذَّيت اعتزَلت."""
90,"ولا مانع خيراً، ولا قائل هجراً. أجمل ما قيل عن
NdY"
91,RT @ali_8804: جوکر فاطمہ تو مشوانی کے ساتھ بند ہوگئے لیکن مشوانی کے چکے جانے کے بعد بھی یہ ہجرا ایکٹیو  ہے اداروں کو چائیے اس کا بھی کھڑا ن…
92,"آراك هجرتني هجراََ طويلا..
وما عودتني من قبل ذاك
يعز عليِّ حين أدير عيني 
افتش في مكانكَ لا آراك!"
93,جوکر فاطمہ تو مشوانی کے ساتھ بند ہوگئے لیکن مشوانی کے چکے جانے کے بعد بھی یہ ہجرا ایکٹیو  ہے اداروں کو چائیے اس کا بھی کھڑا نکالیں یہ کہا سے آپریٹ ہو رہا ہے https://t.co/HP9c0WdSkm
94,"@_falcoon1 🌟🌙2️⃣🌟

#٢رمضان_١٤٤٤ 

لا تجعلوا رمضانكم يذهب سُداً اجعلوهُ نقطة التحول  استعينوا بالله واهجروا المعاصي هجراً لا عودةَ فيه"
95,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
96,"لو كنتَ أنتَ مَعي والنَّاسُ غائِبةٌ
عَنّي لمَا ضَرّني مَن غابَ أو هَجَرا
إنْ كنتَ حوْلي فَكلُّ النَّاسِ حاضِرةٌ
وإنْ غِبتَ لمْ أشْعُرْ بمَن حَضَرا
وكلُّ أرضٍ بِعيْني إذْ تكونُ مَعي
فيها فتلكَ جِنانٌ تَسْحرُ النَّظَرا"
97,و اهجرهُم هجرا جميلاً أدب القرآن لا يعلمك أن تأخذ الصراخ بـ الصراخ و لا الشتم بـ الشتم عِش جمال الحياة في الإعراض عن هذه الفئة من البشر .! -
98,هجرا جميلا🤍💯 https://t.co/c9ByYgpA1z
99,"RT @esraalbrahim122: عارف يعني ايه "" وَاهْجُرْهُمْ هَجْرًا جَمِيلًا ""

يعني في علاقات وفي ناس مينفعش معاهم القرب بأشكاله وأصنافه ، الهجر ال…"
